,spanish,english
4162,obtiene,get
4163,escasos,scarce
4164,trece,thirteen
4165,orígenes,origins
4166,integrado,integrated
4167,mierda,shit
4168,quiénes,Who is it
4169,aprobó,approved
4170,centímetros,centimeters
4171,habitualmente,habitually
4172,censura,censorship
4173,cotidiana,everyday
4174,interesados,interested
4175,penas,Penalty
4176,sorprendente,amazing
4177,declarar,to declare
4178,sospecha,suspicion
4179,básicamente,basically
4180,circular,circular
4181,viuda,widow
4182,contempla,contemplate
4183,casado,married
4184,específica,Specific
4185,mesas,Tables
4186,simultáneamente,simultaneously
4187,variaciones,variations
4188,rara,weird
4189,recepción,reception
4190,calendario,calendar
4191,mecánica,mechanics
4192,salario,salary
4193,mencionado,mentioned
4194,miel,honey
4195,excelencia,excellence
4196,cementerio,graveyard
4197,dibujos,drawings
4198,estadounidenses,Americans
4199,cobertura,coverage
4200,escaso,scarce
4201,antiguas,ancient
4202,brasileño,Brazilian
4203,deportiva,sporty
4204,señorita,miss
4205,habilidad,ability
4206,cerveza,beer
4207,estaciones,seasons
4208,denuncias,Complaints
4209,sumamente,extremely
4210,ampliar,enlarge
4211,oxígeno,oxygen
4212,abiertas,open
4213,apunta,points
4214,fallo,failed
4215,leyenda,legend
4216,teatral,theatrical
4217,barra,bar
4218,fabricación,manufacturing
4219,relacionado,related
4220,servido,served
4221,eh,Hey
4222,perdida,loss
4223,primo,cousin
4224,traslado,transfer
4225,refugio,shelter
4226,representar,represent
4227,terapia,therapy
4228,rama,branch
4229,formando,forming
4230,herramientas,tools
4231,judíos,Jews
4232,trabajador,employee
4233,limpia,clean
4234,declarado,declared
4235,foro,forum
4236,utilizados,used
4237,retiro,withdrawal
4238,civilización,civilization
4239,revela,reveals
4240,sienten,They feel
4241,alturas,Heights
4242,colaboradores,collaborators
4243,complejidad,complexity
4244,fuga,drain
4245,gramos,grams
4246,guerras,Wars
4247,literario,literary
4248,automóviles,cars
4249,suena,it sounds
4250,estatales,state
4251,cuántos,how many
4252,paraguay,Paraguay
4253,inferiores,lower
4254,sometido,submitted
4255,aves,birds
4256,giro,turn
4257,judiciales,judicial
4258,universitarios,University
4259,gritó,scream
4260,solitario,lonely
4261,doy,I give
4262,salamanca,salamanca
4263,componente,component
4264,decirlo,say it
4265,fantasía,fancy
4266,estrecha,narrow
4267,mariana,Mariana
4268,habituales,usual
4269,vea,See
4270,cuartos,rooms
4271,parlamentaria,parliamentary
4272,pregunté,I asked for
4273,soporte,medium
4274,conservar,keep
4275,dominicana,Dominican
4276,toman,they take
4277,campañas,bells
4278,esenciales,essential
4279,faltaba,It was missing
4280,pensiones,pensions
4281,atractivo,attractive
4282,lenguas,Languages
4283,gal,Gal
4284,insiste,insists
4285,angeles,Angels
4286,esperanzas,hopes
4287,cuartel,barracks
4288,prevé,foresee
4289,docentes,Teachers
4290,interesado,interested
4291,ángeles,angels
4292,facultades,faculties
4293,construido,built
4294,continuo,continuous
4295,duró,hard
4296,herrera,Herrera
4297,certeza,certainty
4298,correcto,Right
4299,nombrado,appointed
4300,realizará,will do
4301,semejantes,similar
4302,dirigir,lead
4303,pacífico,peaceful
4304,ilegal,illegal
4305,burgos,Burgos
4306,empezado,started
4307,llevaban,They carried
4308,mostrado,shown
4309,cercana,nearby
4310,guardias,guards
4311,mito,myth
4312,venían,They came
4313,presentarse,introduce oneself
4314,famosa,famous
4315,frecuentemente,frequently
4316,normativa,normative
4317,absurdo,absurd
4318,colón,colon
4319,fórmulas,formulas
4320,afectado,affected
4321,futura,future
4322,aclarar,clarify
4323,récord,record
4324,extranjera,foreign
4325,amo,love
4326,contemplar,contemplate
4327,tecnológico,technological
4328,vidrio,glass
4329,cintura,waist
4330,medina,Medina
4331,religiosas,Religious
4332,alba,Sunrise
4333,ocupado,occupied
4334,pájaros,Birds
4335,hermanas,sisters
4336,secundaria,secondary
4337,clubes,Clubs
4338,plantilla,template
4339,básicas,basic
4340,crece,it grows
4341,increíble,amazing
4342,nave,ship
4343,reto,challenge
4344,adn,DNA
4345,vegetales,vegetables
4346,enviar,Send
4347,llevando,wearing
4348,héroe,hero
4349,celebrado,celebrated
4350,criminal,criminal
4351,palmas,palms
4352,rocas,Rocks
4353,contribuir,contribute
4354,lenta,slow
4355,llave,wrench
4356,haces,you do
4357,sube,goes up
4358,canciller,chancellor
4359,relieve,relief
4360,ajeno,unaffiliated
4361,hielo,ice
4362,leve,mild
4363,obtenidos,obtained
4364,cuenca,basin
4365,incendio,fire
4366,barcos,boats
4367,drama,drama
4368,paraíso,paradise
4369,poderoso,powerful
4370,especialista,specialist
4371,rango,range
4372,dispuesta,arranged
4373,exclusiva,exclusive
4374,supervivencia,survival
4375,toque,I touched
4376,metido,involved
4377,internas,internal
4378,clásicos,Classics
4379,elevada,high
4380,oyó,or me
4381,sucesión,succession
4382,racional,rational
4383,habitaciones,bedrooms
4384,estando,being
4385,intervenir,to intervene
4386,ascenso,ascent
4387,solas,alone
4388,asistentes,attendees
4389,antena,antenna
4390,publicaciones,publications
4391,vera,Vera
4392,costes,Costs
4393,electrónico,electronic
4394,entran,They enter
4395,subió,went up
4396,capitalismo,capitalism
4397,beso,kiss
4398,almuerzo,lunch
4399,establecimientos,establishments
4400,considerada,considered
4401,mire,Look
4402,presentada,presented
4403,reduce,reduce
4404,inquietud,concern
4405,afición,hobby
4406,defectos,defects
4407,elaborar,elaborate
4408,fomento,promotion
4409,empezaba,It started
4410,intimidad,privacy
4411,aporte,input
4412,llegamos,we arrived
4413,presentaron,They presented
4414,juana,Juana
4415,solía,used to
4416,investigar,research
4417,pimienta,Pepper
4418,acontecimiento,event
4419,minas,Mines
4420,consideraba,considered
4421,necesito,needed
4422,urss,USSR
4423,lanza,lance
4424,minerales,minerals
4425,rojos,Red
4426,entendido,understood
4427,aceptado,accepted
4428,cancha,court
4429,conservador,conservative
4430,málaga,Malaga
4431,discos,discs
4432,retraso,delay
4433,compleja,complex
4434,académico,academic
4435,navidad,Christmas
4436,california,California
4437,holanda,Netherlands
4438,invitado,guest
4439,fases,phases
4440,pecado,sin
4441,sustitución,substitution
4442,serrano,Highlander
4443,surgió,It emerged
4444,cristiano,Christian
4445,monetaria,monetary
4446,burguesía,bourgeoisie
4447,lograron,they got
4448,semillas,seeds
4449,comerciantes,merchants
4450,agregar,add
4451,recibieron,They received
4452,vencer,overcome
4453,lesión,injury
4454,tarifas,Rates
4455,agresión,assault
4456,vivimos,We live
4457,propaganda,propaganda
4458,árabe,Arab
4459,aseguran,They assure
4460,pág,p
4461,precisó,accurate
4462,trimestre,trimester
4463,vitamina,vitamin
4464,religiosos,Religious
4465,falsa,false
4466,molina,Molina
4467,llegué,I arrived
4468,públicamente,publicly
4469,cuadrados,squares
4470,repite,repeat
4471,anuncia,announces
4472,cartel,poster
4473,tiendas,stores
4474,conserva,Keep
4475,iniciativas,initiatives
4476,requieren,They require
4477,concejal,councilor
4478,james,James
4479,ó,either
4480,verla,see it
4481,estímulo,stimulus
4482,nombramiento,appointment
4483,nervios,nerves
4484,traducción,translation
4485,financieras,financial
4486,interesantes,Interesting
4487,metal,metal
4488,impuso,imposed
4489,secretaria,Secretary
4490,revés,reverse
4491,tejidos,fabrics
4492,ortiz,Ortiz
4493,decidieron,They decided
4494,virtudes,virtues
4495,destinados,destined
4496,incluidos,included
4497,informática,computing
4498,perfección,perfection
4499,incidente,incident
4500,silva,Silva
4501,densidad,density
4502,comedor,dining room
4503,evita,avoid
4504,consumidor,consumer
4505,comenta,Comment
4506,inocente,innocent
4507,diaria,daily
4508,aliento,breath
4509,aplica,Applies
4510,eléctrico,electric
4511,retirar,withdraw
4512,concretamente,specifically
4513,horario,schedule
4514,virginia,Virginia
4515,específicas,Specific
4516,significación,significance
4517,venezolano,Venezuelan
4518,sorprendido,Surprised
4519,pasados,past
4520,comienzan,They start
4521,señalan,They point out
4522,adquiere,Acquire
4523,felices,Happy
4524,pinochet,Pinochet
4525,sepa,Know
4526,emocional,emotional
4527,pico,peak
4528,solicitar,request
4529,excesiva,excessive
4530,dominante,dominant
4531,cabello,hair
4532,intentando,trying
4533,denomina,calls
4534,figuran,They appear
4535,derivados,Derivatives
4536,héctor,Hector
4537,richard,Richard
4538,distinción,distinction
4539,entregar,deliver
4540,ingleses,English
4541,aprendido,learned
4542,exposiciones,Exhibitions
4543,ganador,winner
4544,carece,lacks
4545,rubén,Rubén
4546,cigarrillo,cigarette
4547,entrevistas,Interviews
4548,mandatario,leader
4549,celebró,celebrated
4550,labores,work
4551,listo,clever
4552,us,us
4553,participaron,They participated
4554,tomate,tomatoes
4555,inés,Agnes
4556,sabían,They knew
4557,armado,armed
4558,mantenerse,keep
4559,períodos,periods
4560,fraga,Fraga
4561,nacer,be born
4562,seria,would be
4563,discursos,Speeches
4564,cubierto,covered
4565,indio,Indian
4566,inspección,inspection
4567,ofensiva,offensive
4568,alerta,alert
4569,barrera,barrier
4570,emociones,emotions
4571,paga,pay
4572,varones,men
4573,atlántico,Atlantic
4574,choque,shock
4575,grecia,Greece
4576,pasta,pasta
4577,efectivos,effective
4578,quedaban,They were left
4579,admiración,admiration
4580,bandas,Bands
4581,espada,sword
4582,incertidumbre,uncertainty
4583,claves,Keys
4584,citada,cited
4585,extiende,Extend
4586,manteca,butter
4587,comicios,elections
4588,mata,Bush
4589,william,William
4590,recorrer,travel
4591,subrayó,He stressed
4592,exportación,export
4593,militantes,militants
4594,cuerda,string
4595,suceso,event
4596,celular,cell phone
4597,ucd,UCD
4598,abandonó,abandonment
4599,justificar,justify
4600,procede,proceeds
4601,parto,Birth
4602,k,k
4603,probar,taste
4604,proporciona,Provide
4605,contratación,hiring
4606,costas,coasts
4607,dormitorio,bedroom
4608,israelí,Israeli
4609,concretos,concrete
4610,contemporánea,Contemporary
4611,externo,external
4612,inmigrantes,Immigrants
4613,dormido,asleep
4614,producirse,occur
4615,disminuir,decrease
4616,aviso,warning
4617,conocidas,known
4618,delegados,delegates
4619,filme,film
4620,lejano,far
4621,cucharadas,tablespoons
4622,contienen,they contain
4623,irá,go to
4624,loca,crazy
4625,indicar,show
4626,pollo,chicken
4627,gubernamentales,Government
4628,sanciones,sanctions
4629,asalto,assault
4630,estudia,Study
4631,relativo,relative
4632,duras,Hard
4633,madrileño,from Madrid
4634,inglesa,English
4635,noble,noble
4636,sueldo,salary
4637,lección,lesson
4638,murieron,They died
4639,tratan,They treat
4640,destacado,outstanding
4641,referente,Referrer
4642,bello,beautiful
4643,concretas,concrete
4644,aliados,Allies
4645,faltan,missing
4646,fundamento,basis
4647,cc,DC
4648,demostró,demonstrated
4649,positivos,positive
4650,vidal,Vidal
4651,conocemos,We know
4652,noción,notion
4653,armonía,harmony
4654,prefiere,prefers
4655,sillón,armchair
4656,admite,admits
4657,financiamiento,financing
4658,cucharada,tablespoon
4659,invasión,invasion
4660,libertades,Liberties
4661,pelea,Fight
4662,escolares,School
4663,ruedas,wheels
4664,satisfacer,satisfy
4665,supuestos,assumptions
4666,alumno,student
4667,fila,row
4668,rabia,Rage
4669,tocó,touched
4670,estadísticas,statistics
4671,conciertos,concerts
4672,asesor,adviser
4673,cinta,headband
4674,esclavos,slaves
4675,sabiduría,wisdom
4676,velázquez,Velázquez
4677,conducir,lead
4678,encontré,I found
4679,productor,producer
4680,muros,Walls
4681,cocción,cooking
4682,oral,oral
4683,bolívar,bolivar
4684,rayo,lightning
4685,carbón,Coal
4686,educativa,Educational
4687,exigir,demand
4688,italianos,Italians
4689,dedica,dedicate
4690,cansancio,fatigue
4691,vestidos,dresses
4692,amanecer,dawn
4693,coinciden,They coincide
4694,gerardo,Gerardo
4695,excepcional,exceptional
4696,personalidades,personalities
4697,acumulación,accumulation
4698,afrontar,front facing
4699,describe,Describe
4700,disponibles,available
4701,proceder,proceed
4702,estrictamente,strictly
4703,redondo,round
4704,horror,horror
4705,copia,copy
4706,renunciar,resign
4707,dimisión,resignation
4708,limpio,cleansed
4709,procedente,As appropriate
4710,gráfico,graphic
4711,quedará,It will remain
4712,cuota,share
4713,tramo,stretch
4714,carolina,Carolina
4715,cultivos,crops
4716,tratamientos,treatments
4717,barro,mud
4718,grasas,Fats
4719,sufren,They suffer
4720,pretenden,They pretend
4721,tablas,boards
4722,residuos,waste
4723,cádiz,Cádiz
4724,intervenciones,interventions
4725,promesa,promise
4726,volvieron,They returned
4727,marqués,marquis
4728,harán,They will do
4729,participan,They participate
4730,ponga,Put
4731,carro,car
4732,flujo,flow
4733,originales,original
4734,desnudo,naked
4735,interpretar,interpret
4736,decisivo,decisive
4737,entendimiento,understanding
4738,llamas,calls
4739,tranquila,quiet
4740,hueso,bone
4741,sentarse,sit down
4742,memorias,memories
4743,transportes,transportation
4744,incapacidad,inability
4745,pretendía,intended
4746,cirugía,surgery
4747,dedicada,dedicated
4748,duros,Hard
4749,mary,Mary
4750,permitan,allow
4751,deseaba,I wanted
4752,direcciones,addresses
4753,refugiados,refugees
4754,aislamiento,isolation
4755,artificial,artificial
4756,católicos,Catholics
4757,talleres,Workshops
4758,orilla,bank
4759,camión,truck
4760,hoteles,Hotels
4761,informar,report
4762,tumba,grave
4763,capítulos,Chapters
4764,ríe,laugh
4765,marruecos,Morocco
4766,dueños,owners
4767,elegante,Elegant
4768,romano,Roman
4769,célebre,famous
4770,diana,Diana
4771,formada,formed
4772,miradas,looks
4773,jardines,gardens
4774,publicada,published
4775,realizando,doing
4776,comidas,foods
4777,útiles,tools
4778,carbono,carbon
4779,oculta,hidden
4780,web,Web
4781,bailar,dance
4782,irak,Iraq
4783,transcurso,course
4784,actúan,They act
4785,colectivos,collective
4786,medir,to size
4787,orejas,ears
4788,conductas,behaviors
4789,empate,tie
4790,colonial,colonial
4791,presa,prey
4792,rumores,Rumors
4793,apoya,support
4794,guardar,save
4795,hectáreas,hectares
4796,sonrió,smiled
4797,chicas,girls
4798,monarquía,monarchy
4799,operativo,Operational
4800,preguntar,ask
4801,buscaba,I was looking for
4802,definido,definite
4803,ciudadanía,citizenship
4804,paloma,dove
4805,concluye,concludes
4806,vídeo,video
4807,usos,applications
4808,vascos,Basques
4809,robo,Stole
4810,roto,broken
4811,volví,I returned
4812,desayuno,breakfast
4813,respetar,respect
4814,compositor,composer
4815,respectivos,respective
4816,móvil,mobile
4817,trama,plot
4818,tenis,tennis
4819,complicado,complicated
4820,desastre,disaster
4821,ministra,Minister
4822,asesinado,murdered
4823,celebra,celebrates
4824,razonable,reasonable
4825,vayan,go
4826,productividad,productivity
4827,corredor,runner
4828,separado,separated
4829,alas,at
4830,cuantas,how many
4831,domínguez,Domínguez
4832,hechas,made
4833,permitía,allowed
4834,hablamos,We speak
4835,alarma,alarm
4836,atentados,Attacks
4837,moverse,move
4838,fraude,fraud
4839,mentales,mental
4840,seguidores,followers
4841,llevo,wear
4842,planteamientos,approaches
4843,invitación,invitation
4844,cálculos,calculations
4845,catalanes,Catalans
4846,limitado,limited
4847,mantenía,maintained
4848,onda,vibe
4849,fray,Fray
4850,acercarse,getting closer
4851,caos,chaos
4852,exigencia,requirement
4853,oviedo,Oviedo
4854,reagan,Reagan
4855,griego,Greek
4856,creyó,He believed
4857,vano,vain
4858,sexto,sixth
4859,supuestamente,supposedly
4860,intérpretes,Interpreters
4861,protestas,protests
4862,sufrimiento,suffering
4863,carnes,meats
4864,egipto,Egypt
4865,administraciones,Administrations
4866,calderón,Calderón
4867,desafío,challenge
4868,antigüedad,antiquity
4869,tercio,third
4870,estreno,premiere
4871,áfrica,Africa
4872,bahía,bay
4873,fortaleza,fortress
4874,obviamente,obviously
4875,siguieron,They followed
4876,vinos,Wines
4877,fujimori,Fujimori
4878,ingeniería,engineering
4879,resultaron,They resulted
4880,garganta,throat
4881,masculino,male
4882,sentada,sitting
4883,quedando,staying
4884,majestad,majesty
4885,rector,rector
4886,mínimos,minima
4887,modernos,Modern
4888,experto,expert
4889,rosas,Rosas
4890,trajo,He brought
4891,vela,candle
4892,cobre,copper
4893,permanencia,permanence
4894,rescate,rescue
4895,enfrente,in front
4896,firmas,firms
4897,tensiones,tensions
4898,confederación,confederacy
4899,problemática,problem
4900,recta,straight
4901,trabajaba,I worked
4902,asia,Asia
4903,extranjeras,foreigners
4904,llevará,carry
4905,detener,having
4906,modalidad,modality
4907,guzmán,Guzmán
4908,vegetal,vegetable
4909,chávez,Chávez
4910,jugo,juice
4911,terrestre,land
4912,ángulo,angle
4913,tentación,temptation
4914,coordinador,coordinator
4915,nerviosa,nervous
4916,suicidio,suicide
4917,acompaña,Accompany
4918,armados,armed
4919,rol,role
4920,agrícolas,agricultural
4921,murcia,Murcia
4922,oliva,olive
4923,provisional,provisional
4924,determina,Determine
4925,evaluar,evaluate
4926,funcional,functional
4927,párrafo,paragraph
4928,patas,paws
4929,cruzar,Cross
4930,huir,flee
4931,novio,boyfriend
4932,aparecía,It appeared
4933,justa,fair
4934,manejar,handle
4935,caro,expensive
4936,naranja,orange
4937,licenciado,graduate
4938,rostros,faces
4939,barba,beard
4940,combustible,gas
4941,enfrenta,Face
4942,acero,steel
4943,adquirido,acquired
4944,sorprendió,surprised
4945,esfera,sphere
4946,genio,genius
4947,bernardo,Bernard
4948,ira,go to
4949,vapor,steam
4950,satisfecho,satisfied
4951,símbolos,symbols
4952,encuestas,Surveys
4953,lluvias,rains
4954,obtención,obtaining
4955,curva,curve
4956,bill,Bill
4957,coca,Coke
4958,guerrilleros,guerrillas
4959,incrementar,increase
4960,medalla,medal
4961,nacionalidad,nationality
4962,vigo,Vigo
4963,bebidas,beverages
4964,trate,Treat
4965,complejos,complex
4966,realizaron,They performed
4967,preocupado,concerned
4968,caracteres,characters
4969,vuelva,Return
4970,estableció,established
4971,formato,Format
4972,contemporáneo,contemporary
4973,registrado,registered
4974,convención,convention
4975,taxi,cab
4976,tronco,trunk
4977,observó,I observe
4978,apreciar,to appreciate
4979,diera,give
4980,consideraciones,considerations
4981,empiezan,They start
4982,viena,Vienna
4983,dedicó,dedicated
4984,tardes,afternoon
4985,asociados,associates
4986,instalado,installed
4987,supuesta,supposed
4988,tecnológica,technological
4989,transferencia,transfer
4990,ámbitos,Areas
4991,empeño,endeavor
4992,eugenio,Eugenio
4993,vistas,views
4994,arreglo,arrangement
4995,magistrado,magistrate
4996,notables,Notable
4997,registros,Records
4998,jugó,juice
